trial;value;learning_rate;depth;subsample;colsample_bylevel
0;1286.7508224274256;0.10478777287244835;7;0.633067361473559;0.7545190672922635
1;2448.0141631667043;0.04251427298249675;7;0.9308164973534913;0.6242298001090923
2;1686.8910284603305;0.03288859795526015;10;0.8647433809800993;0.8200377304336339
3;1624.9710761983627;0.10815961329900999;6;0.7990106721294418;0.8390163467384881
4;1415.1839165612384;0.0662974571536132;8;0.6190751261357177;0.9060142147313159
5;2728.449040006684;0.04999159725488528;6;0.764733380955612;0.9624545071692097
6;1233.1727022980333;0.11256894441746099;7;0.8348854787697007;0.782141576145469
7;1833.0734577665119;0.02968227937339935;10;0.63645533395369;0.9198238719612224
8;880.9587186615107;0.09561108831563205;9;0.6756267540939711;0.8456558619929287
9;1663.03195437813;0.07358175063622521;7;0.8459350361029985;0.9214103465578777
10;928.0355339417434;0.08563240044178916;9;0.7191123158763333;0.6897783405411959
11;910.858590702924;0.08780134656507349;9;0.7199411136216685;0.6661543511669266
12;886.9766852092537;0.08882591391359114;9;0.7175145625780115;0.6002683926952368
13;895.2420175720065;0.09195856747709756;9;0.6948169592111089;0.7269463292590732
14;917.9879718503194;0.11971088563738014;8;0.9991486388615407;0.860288520787658
15;1266.0375452903552;0.06137186959088445;9;0.6873074524950323;0.6019582097237394
16;687.0205802635361;0.09647536162561265;10;0.6634736346124851;0.721308543663492
17;661.6201285348678;0.09822572983149677;10;0.602411659615706;0.7160926387843792
18;828.2494594284775;0.07608021697100269;10;0.6015968281807457;0.7072682007418765
19;673.0742840160706;0.10066754748798765;10;0.6538162069861614;0.7727995939631086
20;638.7996450127762;0.10368857993920925;10;0.7595119953545801;0.7753700535257783
21;649.311136003379;0.1016041813152126;10;0.7662695612806177;0.7711214329199222
22;598.4998796049568;0.11396580711779083;10;0.7666430805237844;0.6625175939396063
23;921.063599540496;0.11904758544669186;8;0.7742729553733759;0.6643500932533959
24;594.3636766395668;0.11202052684545272;10;0.7656391272027128;0.799057188253067
25;617.0700337183046;0.11228507101701357;9;0.823345611610477;0.9827272511032735
26;746.5506896301534;0.11186022441754087;9;0.823345611610477;0.9827272511032735
27;770.6674047928419;0.08208758754323814;10;0.8935383501297579;0.8797174919081104
28;940.5899633387268;0.1150806215932853;8;0.7900355654879077;0.8110819511684192
29;615.3397691279863;0.1081645187426907;10;0.7384938277142951;0.7997554920135693
