mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__dropout,param_model__lr,param_model__n_layers,param_model__units,params,split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2
20.59707299868266,0.2874724204091048,0.4609100818634033,0.008543614632728411,0.20505197942665693,0.0028539836866041807,3,103,"OrderedDict({'model__dropout': 0.20505197942665693, 'model__lr': 0.0028539836866041807, 'model__n_layers': 3, 'model__units': 103})",-16903.244604787105,-7694.199591364404,-10518.203772129284,11705.215989426933,3852.131532699075,10,0.5740638785717086,0.915449859877312,0.8522954591911946,0.7806030658800718,0.1483036221225564,10
32.002012411753334,1.211712745722696,0.558869202931722,0.0478061804976278,0.4186941777766422,0.005842928269761149,2,245,"OrderedDict({'model__dropout': 0.4186941777766422, 'model__lr': 0.005842928269761149, 'model__n_layers': 2, 'model__units': 245})",-16491.38029703687,-8463.710708123846,-11599.91060602492,12185.00053706188,3303.2930466168027,11,0.5945677111431207,0.8976921266682081,0.8203529992136332,0.7708709456749873,0.1286013427577839,11
14.88649813334147,0.5873685504748173,0.41217565536499023,0.006122736824463181,0.22241625615057592,0.006877728743793541,1,129,"OrderedDict({'model__dropout': 0.22241625615057592, 'model__lr': 0.006877728743793541, 'model__n_layers': 1, 'model__units': 129})",-12589.337123884552,-12392.052209344227,-15109.135003971523,13363.5081124001,1236.9694870419605,13,0.7637292028504417,0.7806821878672504,0.6952175963453558,0.7465429956876827,0.0369465685234053,13
26.752463420232136,0.24680306426268803,0.492583433787028,0.018147126042207612,0.4061979941786817,0.00022066991249460104,2,212,"OrderedDict({'model__dropout': 0.4061979941786817, 'model__lr': 0.00022066991249460104, 'model__n_layers': 2, 'model__units': 212})",-13986.08107262536,-14090.767390215467,-16716.76367538436,14931.204046075063,1263.304449618015,15,0.7083940357806031,0.716432321916798,0.6269087257012471,0.6839116944662159,0.0404405518180028,15
24.093134880065918,0.9807710892439043,0.45216846466064453,0.015617045935855941,0.39977672080358656,0.0007517239253342655,2,192,"OrderedDict({'model__dropout': 0.39977672080358656, 'model__lr': 0.0007517239253342655, 'model__n_layers': 2, 'model__units': 192})",-12437.2077199254,-11875.235809722219,-14795.664533931147,13036.036021192922,1265.2200030285528,12,0.7694048890839265,0.7985942244145817,0.7077330967019071,0.7585774034001385,0.0378757791293171,12
10.885260343551636,0.06542750465458476,0.35863320032755536,0.01040659105659295,0.3670140089927842,0.007563790218678245,1,74,"OrderedDict({'model__dropout': 0.3670140089927842, 'model__lr': 0.007563790218678245, 'model__n_layers': 1, 'model__units': 74})",-13029.307064142287,-12935.895058542596,-15688.960468032956,13884.720863572613,1276.3598926700233,14,0.7469263328625247,0.7610096290853082,0.6713761921033308,0.7264373846837212,0.03935637182130997,14
23.723300218582153,0.2831563724228588,0.4355487823486328,0.00445682600571191,0.30853967925115816,0.0035540927532494103,2,228,"OrderedDict({'model__dropout': 0.30853967925115816, 'model__lr': 0.0035540927532494103, 'model__n_layers': 2, 'model__units': 228})",-12953.926587536742,-8445.41518224362,-11624.41995340288,11007.920574394413,1891.5112804585488,6,0.7498461550024123,0.8981339549282036,0.8195930481313315,0.8225243860206491,0.060573715191073275,6
25.451193650563557,1.3907480801840835,0.5064067840576172,0.06585604125840068,0.2717015338451563,0.006918603669668353,2,220,"OrderedDict({'model__dropout': 0.2717015338451563, 'model__lr': 0.006918603669668353, 'model__n_layers': 2, 'model__units': 220})",-16441.996587054382,-7635.947445229605,-10509.326821743418,11529.090284675802,3666.6572889856234,8,0.5969922229158646,0.9167252577447927,0.8525446676345179,0.788754049431725,0.13810439437432828,9
20.873044967651367,0.3384246946589725,0.42694703737894696,0.0033785948512168778,0.47773899315496415,0.0025190853906848607,3,125,"OrderedDict({'model__dropout': 0.47773899315496415, 'model__lr': 0.0025190853906848607, 'model__n_layers': 3, 'model__units': 125})",-13877.878836253894,-8840.330144027468,-11930.156375976996,11549.455118752789,2074.1141550192965,9,0.7128885565664871,0.8883845269860953,0.8099784051353863,0.8037504962293229,0.07178114443866469,8
14.382577975591024,0.3709520171815898,0.4119449456532796,0.029350547469687082,0.0018151536273716133,0.004321753967138224,2,89,"OrderedDict({'model__dropout': 0.0018151536273716133, 'model__lr': 0.004321753967138224, 'model__n_layers': 2, 'model__units': 89})",-11385.544190978888,-8444.898094623652,-11420.956280783208,10417.132855461916,1394.655505353718,1,0.8067533801847795,0.8981464284554699,0.8258531495396579,0.8435843193933025,0.03936130169202809,1
12.86329460144043,0.08678128644644205,0.3747130235036214,0.0075620364591773345,0.003910904650106564,0.004259836678948665,2,73,"OrderedDict({'model__dropout': 0.003910904650106564, 'model__lr': 0.004259836678948665, 'model__n_layers': 2, 'model__units': 73})",-11294.60214674673,-8828.615799504469,-11493.48076546889,10538.899570573363,1212.0756602986019,2,0.809828166108763,0.8886801349094353,0.8236344191593289,0.8407142400591757,0.034382150964453295,2
22.05335323015849,0.4870046897273283,0.4555220603942871,0.01043486377164963,0.0,0.003680093567397673,2,239,"OrderedDict({'model__dropout': 0.0, 'model__lr': 0.003680093567397673, 'model__n_layers': 2, 'model__units': 239})",-13884.666055044225,-8081.482228503938,-10403.805032024195,10789.984438524118,2384.825155248377,5,0.7126076541711328,0.9067240930971265,0.8554909333387661,0.8249408935356751,0.0821392178532078,5
10.531322717666626,0.023648724632240953,0.39746491114298504,0.036863796510999296,0.0006983103322019604,0.005019828456844504,2,32,"OrderedDict({'model__dropout': 0.0006983103322019604, 'model__lr': 0.005019828456844504, 'model__n_layers': 2, 'model__units': 32})",-10417.411062608211,-9253.65842758976,-12138.188045858782,10603.085845352252,1184.9005931239103,3,0.8382203384791836,0.8777034050739438,0.8032936368301898,0.8397391267944392,0.03039663842140238,3
10.613146305084229,0.14010210382222948,0.37554200490315753,0.006752866220831331,0.037936404419655616,0.004502977700114015,2,32,"OrderedDict({'model__dropout': 0.037936404419655616, 'model__lr': 0.004502977700114015, 'model__n_layers': 2, 'model__units': 32})",-11484.452976623908,-9753.034636106162,-12534.816021051101,11257.434544593723,1146.9466551871913,7,0.8033812424870417,0.8641477083211817,0.7902284369131076,0.819252462573777,0.03219664984286743,7
17.770631233851116,2.0345723009247183,0.4152337710062663,0.005176213115156901,0.0,0.003613526048309189,2,172,"OrderedDict({'model__dropout': 0.0, 'model__lr': 0.003613526048309189, 'model__n_layers': 2, 'model__units': 172})",-12858.264964306107,-8264.336583518894,-10987.981222794408,10703.52759020647,1886.21842032675,4,0.7535271645582623,0.9024553558385168,0.8388068792447201,0.8315964665471665,0.06101308099063019,4
