rmse,duration_s,batch_size,dropout,lr,n_layers,units
0.6489922404289246,17.673,64,0.44196331273630773,0.00173875341250144,5,32
0.48698166012763977,18.609,128,0.43046524095671734,0.0016462596144793105,2,256
0.44599446654319763,38.214,64,0.30883042563650154,0.00014038543463050265,1,32
0.4683191180229187,43.744,32,0.29622670666290374,0.0002657261125138509,3,128
0.5262635350227356,39.441,64,0.14367815992661692,0.00015605916948313548,3,64
0.4926507771015167,43.306,64,0.22097169917622667,0.00020991729298630913,4,128
0.40171903371810913,31.903,32,0.04087347097607791,0.00986221394901653,4,128
0.4969446659088135,12.796,64,0.3740178864802004,0.004572769019165937,1,64
0.41237738728523254,16.995,32,0.027038937222091997,0.0034894874056019183,4,32
0.8570107817649841,18.347,64,0.21749897682540315,0.0009143539332489349,2,256
0.4594598710536957,22.971,64,0.13416237685526877,0.0001209262860329415,1,32
0.3963870406150818,44.929,128,0.05241530852323428,0.0016455260799501802,4,256
0.48975756764411926,16.544,32,0.30455207454415967,0.002884557501549362,2,64
0.3909088671207428,10.45,128,0.04442592403291873,0.0008596014347011427,1,128
0.41019389033317566,6.683,128,0.008548344973872246,0.006478333050221687,2,128
0.4438684582710266,24.134,32,0.1021421260050811,0.00945092733250806,5,32
0.5249168872833252,12.112,128,0.4084973821066825,0.004247828113513112,5,128
0.4446244537830353,96.315,32,0.17534164663666646,0.0001607548676725135,2,128
0.37619441747665405,28.177,128,0.06403844796318592,0.005008525079435399,2,256
0.45575660467147827,22.399,32,0.48799994886945847,0.0026674055043461146,3,32
0.39580389857292175,9.86,128,0.07913847056312484,0.0004882545494784398,1,256
0.3822389841079712,23.17,128,0.09903618032550696,0.0006773695329649285,1,256
0.5744677186012268,20.464,128,0.11078627249765277,0.0005488455931610422,2,256
0.3813398480415344,22.586,128,0.17373947546484045,0.0005022737058496289,1,256
0.39615556597709656,11.905,128,0.1611054469998376,0.0003427968121938256,1,256
0.42058244347572327,29.251,128,0.19959700531220598,0.007007036573889775,2,256
0.6765589118003845,10.72,128,0.25208733108449854,0.00038317561490599687,2,256
0.40536946058273315,8.074,128,0.25445020239837246,0.0013484493152791336,1,256
0.38390642404556274,66.714,128,0.07775850021583838,0.0011892260388336121,5,256
0.5069553852081299,26.473,128,0.3536240644411333,0.002045893317395565,3,256
0.36341798305511475,37.478,128,0.002519042427960222,0.000614774868415337,5,64
0.4264776110649109,13.543,128,0.06509424129757183,0.0020975815799825076,5,64
0.3671751320362091,32.83,128,0.0006029079470176537,0.0007277881592317255,5,64
0.36800727248191833,40.3,128,0.0029973398649594516,0.0002673737721553662,5,64
0.3619939386844635,57.846,64,0.00023359808078244503,0.0006879410670207424,5,64
0.8411473035812378,36.438,64,0.48503967054407715,0.0002252353653605305,5,64
0.4599989652633667,23.308,64,0.13187491151358033,0.0011485557445907553,5,64
0.42551565170288086,44.675,64,0.02760507723372511,0.00034968650784441836,5,64
0.5422020554542542,67.319,64,0.33697643017151246,0.00010297739850602715,5,64
0.5126994252204895,7.702,64,0.018947251153248187,0.0006053705271419447,3,64
0.6595583558082581,22.885,64,0.2738642103105364,0.00017326925588339866,4,64
0.5360084176063538,29.985,64,0.44429532214792206,0.0004377938141127888,5,64
0.5637555122375488,81.987,64,0.11999676853548424,0.0002818404247296145,5,64
0.47530749440193176,23.709,64,0.2050283976844611,0.0007594202790956439,4,32
0.4048890769481659,1081.692,32,0.15712022765811354,0.0010567698173229066,5,64
0.41177913546562195,12.899,64,0.038335152108099846,0.001760247044088948,3,64
0.48139795660972595,41.667,32,0.2307205290825886,0.0008904152644318724,5,32
0.4630153477191925,28.349,64,0.40426403628305124,0.0013683148537883666,4,128
0.5759740471839905,60.395,64,0.2830717591281234,0.00011980653674053205,5,64
0.5385854840278625,78.196,32,0.08949693881760062,0.0002030169874715218,5,64
0.4321807026863098,18.169,64,0.05588660517230484,0.002830497052911979,3,128
0.37904831767082214,84.457,32,0.01640949764774947,0.00031722557918403637,4,32
0.577446460723877,27.413,64,0.32479742118812793,0.0004203307353699562,5,64
0.4262006878852844,20.014,128,0.1880346319161393,0.0034028667632429533,5,64
0.4363776743412018,24.895,32,0.14425332534257457,0.0015630853260967343,3,128
0.8464284539222717,18.389,64,0.465359876285376,0.0006149460124827572,5,32
0.4664745628833771,17.38,128,0.22821609963314357,0.0022164181933429076,4,64
0.45179542899131775,9.331,128,0.04031544512194525,0.0002299555673394399,2,64
0.3797133266925812,22.153,64,0.12398991326864893,0.0008447103625817762,1,128
0.6106971502304077,99.455,32,0.37719374920468174,0.00013710537408857546,5,32
0.37937355041503906,12.5,128,0.08898163805119372,0.005352322428053221,2,64
0.3874151110649109,16.107,128,0.07856439877250769,0.0005025934231964696,1,64
0.3859400153160095,62.906,64,0.11107136743671656,0.0037011894001676877,5,128
0.4142853915691376,17.526,128,0.0308784379493644,0.0005825934238671336,3,64
0.3760750889778137,31.633,128,0.0018620219842962835,0.00017820004418273876,5,32
0.3674880564212799,31.587,128,0.0013673838974518101,0.0007438863786771106,5,64
0.41071218252182007,20.657,128,0.06244909494757566,0.0010005999709159247,5,64
0.4231591522693634,20.295,128,0.04969751001245055,0.0012660658738966697,5,64
0.37545499205589294,37.191,128,0.01809918501381037,0.0006881550287071819,5,64
0.5627555847167969,15.239,128,0.14525021469778343,0.0004544416347083813,5,64
0.3670468330383301,28.261,128,0.0007445117122024953,0.0015416887089721256,5,64
0.43288737535476685,21.24,128,0.07574936564510318,0.0016289406339892573,5,64
0.3696119785308838,23.626,128,0.013082436228441968,0.0020002328082117894,5,64
0.38553255796432495,7.484,128,0.09855053620487718,0.008574125025091528,2,64
0.38705211877822876,12.653,128,0.16716902126786648,0.002401873452954934,1,64
0.43056124448776245,45.845,64,0.030828027202200847,0.0010893165492444359,4,256
0.4608801305294037,59.085,32,0.06778529387646118,0.0008454565948912015,5,64
0.425533652305603,22.178,128,0.18594298923292454,0.0013924832530676208,5,128
0.36342865228652954,51.92,64,0.00011476068158175159,0.0003843589602801797,3,64
0.48875299096107483,33.628,64,0.11258092286641155,0.00035957716940311803,3,64
0.659122109413147,41.75,64,0.04850643013991012,0.00029772276258966274,3,256
0.45617491006851196,31.795,64,0.09737913071447059,0.0003838688508870634,3,32
0.5618757009506226,23.881,64,0.2395452084852768,0.0002315115598247571,3,64
0.466243714094162,18.83,64,0.15459203184341014,0.0005467506721007794,3,64
0.46338963508605957,48.631,64,0.132415085300906,0.00024562569048027774,3,128
0.5504259467124939,6.663,64,0.02347435697477491,0.0006609524101130545,3,64
0.7032647132873535,44.289,64,0.03768395086541529,0.0001974232448936711,4,256
0.5351450443267822,45.578,64,0.264819393576113,0.00014645689526084793,2,64
0.5543482899665833,13.35,64,0.20496626748359087,0.00040859016536257386,3,32
0.4121963381767273,60.244,32,0.30391787535786025,0.00010334049910619226,1,64
0.4472496807575226,33.566,64,0.08706877648017179,0.0003122545562329376,3,64
0.39235860109329224,31.261,64,0.010801424090433616,0.0004912916829349621,4,128
0.4008367657661438,45.476,64,0.4180821503322125,0.00026036835959143033,2,256
0.3758487105369568,49.423,32,0.05871332949452147,0.000539721295054989,1,64
0.46629756689071655,47.312,64,0.07035371704627208,0.00017858384867423883,3,32
0.3985663056373596,33.591,64,0.12224240306519382,0.0018411043943313016,3,64
0.44747263193130493,32.847,64,0.2164461993556539,0.0007817029366291303,4,64
0.42948123812675476,99.918,32,0.18078099335589723,0.00011894549279755517,2,128
0.5645592212677002,24.128,64,0.3537726279873892,0.0010197854930707223,5,64
0.3906562030315399,35.491,64,0.28840025970532696,0.0003257695547022943,1,64
