package,seed,val_rmse,learning_rate,depth,subsample,rsm,random_state
Optuna,0,5880.093662155312,0.09007350195118972,6,0.928530065373903,0.5020154464352127,0
Optuna,42,5878.49862798781,0.08718521065864407,6,0.7202059842708823,0.5043430552819659,42
Optuna,7,6018.217743814877,0.09456091624674305,11,0.5287198061434313,0.5666338871373438,7
Optuna,123,6023.665085099702,0.09974812017951178,8,0.8433245144059831,0.9733487174810281,123
Optuna,999,6055.09337108149,0.07566922422543548,7,0.5994650354281451,0.5496059253883401,999
Hyperopt,0,5991.854567330996,0.07528425083488464,9,0.6716491379275367,0.5962049372984456,0
Hyperopt,42,6021.209111896165,0.09981137555133142,10,0.817766761947603,0.7698787504262877,42
Hyperopt,7,6124.512649875541,0.08960047201869768,10,0.7569023786021892,0.8993037185411885,7
Hyperopt,123,6101.075735097469,0.08831553203887438,8,0.5238940014640503,0.7314398861649374,123
Hyperopt,999,6189.099339199499,0.05969106489296227,8,0.8539211437730468,0.9413510838100341,999
Skopt,0,5932.288903145627,0.1,8,1.0,0.5,0
Skopt,42,5897.830153645589,0.0962481185360338,8,0.5,0.5,42
Skopt,7,5951.77468209005,0.1,6,1.0,0.5,7
Skopt,123,5824.946635737185,0.1,7,0.5,0.5,123
Skopt,999,5937.928922570971,0.1,8,1.0,0.5,999
