package,seed,val_rmse,learning_rate,max_depth,subsample,colsample_bytree
Optuna,0,7558.047024444758,0.030925917870883602,5,0.9557639349885537,0.761978544750737
Optuna,42,7566.116809784685,0.0677445501141284,5,0.9983109465346651,0.8126617439910817
Optuna,7,7646.792763229123,0.03714514719337014,5,0.8869107781121424,0.6504800576058299
Optuna,123,7526.869003733328,0.07738705816004919,6,0.9785643861475903,0.878351117001299
Optuna,999,7422.7651191081195,0.09877646890750276,5,0.993474960397095,0.5760618679462227
Hyperopt,0,7662.295158382565,0.0632970460287489,6,0.8384508056875681,0.7614226257465381
Hyperopt,42,7629.86148963659,0.09793420978350091,4,0.9234230617810995,0.9709616893179528
Hyperopt,7,7797.638111698977,0.03289490300621412,5,0.550268050773848,0.8789930739424612
Hyperopt,123,7645.283796567231,0.04044307275943203,6,0.9588065173594207,0.7519443433968198
Hyperopt,999,7719.736061173959,0.03936518410575894,5,0.8950503021279642,0.7296062019185702
Skopt,0,7623.531547168079,0.1,5,0.8022461031022547,1.0
Skopt,42,7591.48422514765,0.1,5,1.0,0.7255213168170386
Skopt,7,7717.098296180091,0.09309894122634961,6,1.0,0.8485828811544199
Skopt,123,7499.658453532691,0.1,4,1.0,1.0
Skopt,999,7439.146326858844,0.07717105706930846,5,1.0,0.7453342555539608
